Text,Attacker,CVE,ExploitTarget,Hardware,Means/Consequence,Product,Software,Vulnerability,Weakness,VersionNumber,hasAffectedSoftware,hasAttacker,#hasMeans,hasWeakness,#isUnderAttack,hasSoftware,has CVE_ID,hasVulnerability
"CVE-2014-0021 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0023 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
CVE-2014-0025 ** REJECT **  DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2014-1690.  Reason: This candidate is a reservation duplicate of CVE-2014-1690.  Notes: All CVE users should reference CVE-2014-1690 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage.,,,,,,,,,,,,,,,,,,
CVE-2014-0027 The play_wave_from_socket function in audio/auserver.c in Flite 1.4 allows local users to modify arbitrary files via a symlink attack on /tmp/awb.wav.  NOTE: some of these details are obtained from third party information.,local users,CVE-2014-0027,play_wave_from_socket function; audio/auserver.c,,symlink attack on /tmp/awb.wav, Flite,,,to modify arbitrary files,1.4,,,,,,,,
"CVE-2014-0029 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
CVE-2014-0031 The (1) ListNetworkACL and (2) listNetworkACLLists APIs in Apache CloudStack before 4.2.1 allow remote authenticated users to list network ACLS for other users via a crafted request.,remote authenticated users,CVE-2014-0031,ListNetworkACL; listNetworkACLLists,,a crafted request,Apache CloudStack,,,to list network ACLS for other users,before 4.2.1,,,,,,,,
"CVE-2014-0033 org/apache/catalina/connector/CoyoteAdapter.java in Apache Tomcat 6.0.33 through 6.0.37 does not consider the disableURLRewriting setting when handling a session ID in a URL, which allows remote attackers to conduct session fixation attacks via a crafted URL.",remote attackers,CVE-2014-0033,org/apache/catalina/connector/CoyoteAdapter.java,,a crafted URL,Apache Tomcat,,,to conduct session fixation attacks,6.0.33 through 6.0.37,,,,,,,,
"CVE-2014-0035 The SymmetricBinding in Apache CXF before 2.6.13 and 2.7.x before 2.7.10, when EncryptBeforeSigning is enabled and the UsernameToken policy is set to an EncryptedSupportingToken, transmits the UsernameToken in cleartext, which allows remote attackers to obtain sensitive information by sniffing the network.",remote attackers,CVE-2014-0035,SymmetricBinding,,sniffing the network,Apache CXF,,,to obtain sensitive information,before 2.6.13 and 2.7.x before 2.7.10,,,,,,,,
"CVE-2014-0037 The ValidateUserLogon function in provider/libserver/ECSession.cpp in Zarafa 5.00 before 7.1.8 beta2 allows remote attackers to cause a denial of service (crash) via vectors related to ""a NULL pointer of the username.""",remote attackers,CVE-2014-0037,ValidateUserLogon function; provider/libserver/ECSession.cpp,,"vectors related to ""a NULL pointer of the username.""",Zarafa,,,to cause a denial of service,5.00 before 7.1.8,,,,,,,,
"CVE-2014-0039 Untrusted search path vulnerability in fwsnort before 1.6.4, when not running as root, allows local users to execute arbitrary code via a Trojan horse fwsnort.conf in the current working directory.",local users,CVE-2014-0039,,,Trojan horse fwsnort.conf,fwsnort,,Untrusted search path vulnerability,to execute arbitrary code,before 1.6.4,,,,,,,,
"CVE-2014-0041 OpenStack Heat Templates (heat-templates), as used in Red Hat Enterprise Linux OpenStack Platform 4.0, sets sslverify to false for certain Yum repositories, which disables SSL protection and allows man-in-the-middle attackers to prevent updates via unspecified vectors.",man-in-the-middle attackers,CVE-2014-0041,OpenStack Heat Templates,,unspecified vectors,Red Hat Enterprise Linux OpenStack Platform,,,to prevent updates,4,,,,,,,,
"CVE-2014-0043 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0045 The needSamples method in AudioOutputSpeech.cpp in the client in Mumble 1.2.4 and the 1.2.3 pre-release snapshots, Mumble for iOS 1.1 through 1.2.2, and MumbleKit before commit fd190328a9b24d37382b269a5674b0c0c7a7e36d does not check the return value of the opus_decode_float function, which allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a crafted Opus voice packet, which triggers an error in opus_decode_float, a conversion of a negative integer to an unsigned integer, and a heap-based buffer over-read and over-write.",remote attackers,CVE-2014-0045,AudioOutputSpeech.cpp,,a crafted Opus voice packet,Mumble,,,to cause a denial of service,1.2.4 and the 1.2.3,,,,,,,,
"CVE-2014-0047 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
CVE-2014-0049 Buffer overflow in the complete_emulated_mmio function in arch/x86/kvm/x86.c in the Linux kernel before 3.13.6 allows guest OS users to execute arbitrary code on the host OS by leveraging a loop that triggers an invalid memory copy affecting certain cancel_work_item data.,guest OS users,CVE-2014-0049,complete_emulated_mmio function,,leveraging a loop that triggers an invalid memory copy affecting certain cancel_work_item data,Linux kernel ,,Buffer overflow,to execute arbitrary code,before 3.13.6,,,,,,,,
"CVE-2014-0051 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0053 The default configuration of the Resources plugin 1.0.0 before 1.2.6 for Pivotal Grails 2.0.0 before 2.3.6 does not properly restrict access to files in the WEB-INF directory, which allows remote attackers to obtain sensitive information via a direct request.  NOTE: this identifier has been SPLIT due to different researchers and different vulnerability types. See CVE-2014-2857 for the META-INF variant and CVE-2014-2858 for the directory traversal.",remote attackers,CVE-2014-0053,default configuration of the Resources plugin,,a direct request,Pivotal Grails,,,to obtain sensitive information,1.0.0 before 1.2.6;2.0.0 before 2.3.6,,,,,,,,
"CVE-2014-0055 The get_rx_bufs function in drivers/vhost/net.c in the vhost-net subsystem in the Linux kernel package before 2.6.32-431.11.2 on Red Hat Enterprise Linux (RHEL) 6 does not properly handle vhost_get_vq_desc errors, which allows guest OS users to cause a denial of service (host OS crash) via unspecified vectors.",guest OS users,CVE-2014-0055,get_rx_bufs function in drivers/vhost/net.c,,unspecified vectors,Linux kernel package;Red Hat Enterprise Linux,,,to cause a denial of service,before 2.6.32-431.11.2,,,,,,,,
CVE-2014-0057 The x_button method in the ServiceController (vmdb/app/controllers/service_controller.rb) in Red Hat CloudForms 3.0 Management Engine 5.2 allows remote attackers to execute arbitrary methods via unspecified vectors.,remote attackers,CVE-2014-0057,x_button method;ServiceController,,unspecified vectors,Red Hat CloudForms 3.0 Management Engine,,,to execute arbitrary methods,5.2,,,,,,,,
"CVE-2014-0059 JBoss SX and PicketBox, as used in Red Hat JBoss Enterprise Application Platform (EAP) before 6.2.3, use world-readable permissions on audit.log, which allows local users to obtain sensitive information by reading this file.",local users,CVE-2014-0059,JBoss SX and PicketBox,,reading this file,Red Hat JBoss Enterprise Application Platform (EAP),,,to obtain sensitive information,before 6.2.3,,,,,,,,
"CVE-2014-0061 The validator functions for the procedural languages (PLs) in PostgreSQL before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allow remote authenticated users to gain privileges via a function that is (1) defined in another language or (2) not allowed to be directly called by the user due to permissions.",remote authenticated users,CVE-2014-0061,procedural languages (PLs),,function,PostgreSQL,,,to gain privileges,"before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3",,,,,,,,
"CVE-2014-0063 Multiple stack-based buffer overflows in PostgreSQL before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allow remote authenticated users to cause a denial of service (crash) or possibly execute arbitrary code via vectors related to an incorrect MAXDATELEN constant and datetime values involving (1) intervals, (2) timestamps, or (3) timezones, a different vulnerability than CVE-2014-0065.",remote authenticated users,CVE-2014-0063,,,vectors related to an incorrect MAXDATELEN constant and datetime values,PostgreSQL,,Multiple stack-based buffer overflows,to cause a denial of service (crash);execute arbitrary code,"before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3",,,,,,,,
"CVE-2014-0065 Multiple buffer overflows in PostgreSQL before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3 allow remote authenticated users to have unspecified impact and attack vectors, a different vulnerability than CVE-2014-0063.",remote authenticated users,CVE-2014-0065,,,,PostgreSQL,,Multiple buffer overflows,to have unspecified impact and attack vectors,"before 8.4.20, 9.0.x before 9.0.16, 9.1.x before 9.1.12, 9.2.x before 9.2.7, and 9.3.x before 9.3.3",,,,,,,,
"CVE-2014-0067 The ""make check"" command for the test suites in PostgreSQL 9.3.3 and earlier does not properly invoke initdb to specify the authentication requirements for a database cluster to be used for the tests, which allows local users to gain privileges by leveraging access to this cluster.",local users,CVE-2014-0067,"""make check"" command for the test suites",,by leveraging access to this cluster,PostgreSQL,,,to gain privileges,9.3.3 and earlier,,,,,,,,
"CVE-2014-0069 The cifs_iovec_write function in fs/cifs/file.c in the Linux kernel through 3.13.5 does not properly handle uncached write operations that copy fewer than the requested number of bytes, which allows local users to obtain sensitive information from kernel memory, cause a denial of service (memory corruption and system crash), or possibly gain privileges via a writev system call with a crafted pointer.",local users,CVE-2014-0069,cifs_iovec_write function in fs/cifs/file.c,,writev system call with a crafted pointer,Linux kernel,,,to obtain sensitive information from kernel memory; cause a denial of service;possibly gain privileges,through 3.13.5,,,,,,,,
"CVE-2014-0071 PackStack in Red Hat OpenStack 4.0 does not enforce the default security groups when deployed to Neutron, which allows remote attackers to bypass intended access restrictions and make unauthorized connections.",remote attackers,CVE-2014-0071,PackStack,,,Red Hat OpenStack,,,to bypass intended access restrictions and make unauthorized connections,4,,,,,,,,
"CVE-2014-0073 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0075 Integer overflow in the parseChunkHeader function in java/org/apache/coyote/http11/filters/ChunkedInputFilter.java in Apache Tomcat before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4 allows remote attackers to cause a denial of service (resource consumption) via a malformed chunk size in chunked transfer coding of a request during the streaming of data.",remote attackers,CVE-2014-0075,parseChunkHeader function in java/org/apache/coyote/http11/filters/ChunkedInputFilter.java,,malformed chunk size in chunked transfer coding of a request during the streaming of data,Apache Tomcat,,Integer overflow,to cause a denial of service,"before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4",,,,,,,,
"CVE-2014-0077 drivers/vhost/net.c in the Linux kernel before 3.13.10, when mergeable buffers are disabled, does not properly validate packet lengths, which allows guest OS users to cause a denial of service (memory corruption and host OS crash) or possibly gain privileges on the host OS via crafted packets, related to the handle_rx and get_rx_bufs functions.",guest OS users,CVE-2014-0077,drivers/vhost/net.c,,crafted packets,Linux kernel,,,to cause a denial of service;possibly gain privileges on the host OS,before 3.13.10,,,,,,,,
"CVE-2014-0079 The ValidateUserLogon function in provider/libserver/ECSession.cpp in Zarafa 7.1.8, 6.20.0, and earlier, when using certain build conditions, allows remote attackers to cause a denial of service (crash) via vectors related to ""a NULL pointer of the password.""",remote attackers,CVE-2014-0079,ValidateUserLogon function in provider/libserver/ECSession.cpp,,"vectors related to ""a NULL pointer of the password.""",Zarafa,,,to cause a denial of service,"7.1.8, 6.20.0, and earlier",,,,,,,,
"CVE-2014-0081 Multiple cross-site scripting (XSS) vulnerabilities in actionview/lib/action_view/helpers/number_helper.rb in Ruby on Rails before 3.2.17, 4.0.x before 4.0.3, and 4.1.x before 4.1.0.beta2 allow remote attackers to inject arbitrary web script or HTML via the (1) format, (2) negative_format, or (3) units parameter to the (a) number_to_currency, (b) number_to_percentage, or (c) number_to_human helper.",remote attackers,CVE-2014-0081,actionview/lib/action_view/helpers/number_helper.rb in Ruby,,format;negative_format;units parameter,Rails,,Multiple cross-site scripting (XSS) vulnerabilities,to inject arbitrary web script or HTML,"before 3.2.17, 4.0.x before 4.0.3, and 4.1.x before 4.1.0.beta2",,,,,,,,
"CVE-2014-0083 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0085 Apache Zookeeper logs cleartext admin passwords, which allows local users to obtain sensitive information by reading the log.",local users,CVE-2014-0085,cleartext admin passwords,,reading the log,Apache Zookeeper,,,to obtain sensitive information,,,,,,,,,
"CVE-2014-0087 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
CVE-2014-0089 Cross-site scripting (XSS) vulnerability in app/views/common/500.html.erb in Foreman 1.4.x before 1.4.2 allows remote authenticated users to inject arbitrary web script or HTML via the bookmark name when adding a bookmark.,remote authenticated users,CVE-2014-0089,app/views/common/500.html.erb,,bookmark name,Foreman,,Cross-site scripting (XSS) vulnerability,to inject arbitrary web script or HTML,1.4.x before 1.4.2,,,,,,,,
"CVE-2014-0091 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0093 Red Hat JBoss Enterprise Application Platform (JBEAP) 6.2.2, when using a Java Security Manager (JSM), does not properly apply permissions defined by a policy file, which causes applications to be granted the java.security.AllPermission permission and allows remote attackers to bypass intended access restrictions.",,CVE-2014-0093,Red Hat JBoss Enterprise Application Platform (JBEAP),,,Java Security Manager (JSM),,,applications to be granted the java.security,6.2.2,,,,,,,,
"CVE-2014-0095 java/org/apache/coyote/ajp/AbstractAjpProcessor.java in Apache Tomcat 8.x before 8.0.4 allows remote attackers to cause a denial of service (thread consumption) by using a ""Content-Length: 0"" AJP request to trigger a hang in request processing.",remote attackers,CVE-2014-0095,java/org/apache/coyote/ajp/AbstractAjpProcessor.java,,"""Content-Length: 0"" AJP request",Apache Tomcat,,,to cause a denial of service,8.x before 8.0.4,,,,,,,,
"CVE-2014-0097 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0099 Integer overflow in java/org/apache/tomcat/util/buf/Ascii.java in Apache Tomcat before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4, when operated behind a reverse proxy, allows remote attackers to conduct HTTP request smuggling attacks via a crafted Content-Length HTTP header.",remote attackers,CVE-2014-0099,java/org/apache/tomcat/util/buf/Ascii.java,,crafted Content-Length HTTP header,Apache Tomcat,,Integer overflow,to conduct HTTP request smuggling attacks,"before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4",,,,,,,,
"CVE-2014-0101 The sctp_sf_do_5_1D_ce function in net/sctp/sm_statefuns.c in the Linux kernel through 3.13.6 does not validate certain auth_enable and auth_capable fields before making an sctp_sf_authenticate call, which allows remote attackers to cause a denial of service (NULL pointer dereference and system crash) via an SCTP handshake with a modified INIT chunk and a crafted AUTH chunk before a COOKIE_ECHO chunk.",remote attackers,CVE-2014-0101,sctp_sf_do_5_1D_ce function in net/sctp/sm_statefuns.c,,SCTP handshake with a modified INIT chunk and a crafted AUTH chunk before a COOKIE_ECHO chunk,Linux kernel,,,to cause a denial of service (NULL pointer dereference and system crash),through 3.13.6,,,,,,,,
"CVE-2014-0103 WebAccess in Zarafa before 7.1.10 and WebApp before 1.6 stores credentials in cleartext, which allows local Apache users to obtain sensitive information by reading the PHP session files.",local Apache users,CVE-2014-0103,WebAccess,,reading the PHP session files,Zarafa; WebApp,,,to obtain sensitive information,before 7.1.10;before 1.6,,,,,,,,
"CVE-2014-0105 The auth_token middleware in the OpenStack Python client library for Keystone (aka python-keystoneclient) before 0.7.0 does not properly retrieve user tokens from memcache, which allows remote authenticated users to gain privileges in opportunistic circumstances via a large number of requests, related to an ""interaction between eventlet and python-memcached.""",remote authenticated users,CVE-2014-0105,auth_token middleware in the OpenStack Python client library,,"large number of requests, related to an ""interaction between eventlet and python-memcached.""",Keystone,,,to gain privileges in opportunistic circumstances,before 0.7.0,,,,,,,,
"CVE-2014-0107 The TransformerFactory in Apache Xalan-Java before 2.7.2 does not properly restrict access to certain properties when FEATURE_SECURE_PROCESSING is enabled, which allows remote attackers to bypass expected restrictions and load arbitrary classes or access external resources via a crafted (1) xalan:content-header, (2) xalan:entities, (3) xslt:content-header, or (4) xslt:entities property, or a Java property that is bound to the XSLT 1.0 system-property function.",remote attackers,CVE-2014-0107,TransformerFactory,,xalan:content-header;xalan:entities;xslt:content-header;xslt:entities property,Apache Xalan-Java,,,to bypass expected restrictions and load arbitrary classes or access external resources,before 2.7.2,,,,,,,,
"CVE-2014-0109 Apache CXF before 2.6.14 and 2.7.x before 2.7.11 allows remote attackers to cause a denial of service (memory consumption) via a large request with the Content-Type set to text/html to a SOAP endpoint, which triggers an error.",remote attackers,CVE-2014-0109,large request with the Content-Type set to text/html to a SOAP endpoint,,,Apache CXF,,,to cause a denial of service,before 2.6.14 and 2.7.x before 2.7.11,,,,,,,,
"CVE-2014-0111 Apache Syncope 1.0.0 before 1.0.9 and 1.1.0 before 1.1.7 allows remote administrators to execute arbitrary Java code via vectors related to Apache Commons JEXL expressions, ""derived schema definition,"" ""user / role templates,"" and ""account links of resource mappings.""",remote administrators,CVE-2014-0111,,,vectors related to Apache Commons JEXL expressions,Apache Syncope,,,to execute arbitrary Java code,1.0.0 before 1.0.9 and 1.1.0 before 1.1.7,,,,,,,,
"CVE-2014-0113 CookieInterceptor in Apache Struts before 2.3.16.2, when a wildcard cookiesName value is used, does not properly restrict access to the getClass method, which allows remote attackers to ""manipulate"" the ClassLoader and execute arbitrary code via a crafted request.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2014-0094.",remote attackers,CVE-2014-0113,CookieInterceptor,,crafted request,Apache Struts,,,"to ""manipulate"" the ClassLoader and execute arbitrary code",before 2.3.16.2,,,,,,,,
"CVE-2014-0115 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0117 The mod_proxy module in the Apache HTTP Server 2.4.x before 2.4.10, when a reverse proxy is enabled, allows remote attackers to cause a denial of service (child-process crash) via a crafted HTTP Connection header.",remote attackers,CVE-2014-0117,mod_proxy module,,crafted HTTP Connection header,Apache HTTP Server,,,to cause a denial of service,2.4.x before 2.4.10,,,,,,,,
"CVE-2014-0119 Apache Tomcat before 6.0.40, 7.x before 7.0.54, and 8.x before 8.0.6 does not properly constrain the class loader that accesses the XML parser used with an XSLT stylesheet, which allows remote attackers to (1) read arbitrary files via a crafted web application that provides an XML external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue, or (2) read files associated with different web applications on a single Tomcat instance via a crafted web application.",remote attackers,CVE-2014-0119,,,"crafted web application that provides an XML external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue;crafted web application",Apache Tomcat,,,read arbitrary files;read files associated with different web applications on a single Tomcat instance,"before 6.0.40, 7.x before 7.0.54, and 8.x before 8.0.6",,,,,,,,
"CVE-2014-0121 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-0123 The wiki subsystem in Moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 does not properly restrict (1) view and (2) edit access, which allows remote authenticated users to perform wiki operations by leveraging the student role and using the Recent Activity block to reach the individual wiki of an arbitrary student.",remote authenticated users,CVE-2014-0123,wiki subsystem,,leveraging the student role and using the Recent Activity block,Moodle,,,to perform wiki operations,"through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2",,,,,,,,
"CVE-2014-0125 repository/alfresco/lib.php in Moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 places a session key in a URL, which allows remote attackers to bypass intended Alfresco Repository file restrictions by impersonating a file's owner.",remote attackers,CVE-2014-0125,repository/alfresco/lib.php,,impersonating a file's owner,Moodle,,,to bypass intended Alfresco Repository file restrictions,"through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2",,,,,,,,
"CVE-2014-0127 The time-validation implementation in (1) mod/feedback/complete.php and (2) mod/feedback/complete_guest.php in Moodle through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 allows remote authenticated users to bypass intended restrictions on starting a Feedback activity by choosing an unavailable time.",remote authenticated users,CVE-2014-0127,mod/feedback/complete.php;mod/feedback/complete_guest.php,,choosing an unavailable time,Moodle,,,to bypass intended restrictions on starting a Feedback activity,"through 2.3.11, 2.4.x before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 ",,,,,,,,
"CVE-2014-0129 badges/mybadges.php in Moodle 2.5.x before 2.5.5 and 2.6.x before 2.6.2 does not properly track the user to whom a badge was issued, which allows remote authenticated users to modify the visibility of an arbitrary badge via unspecified vectors.",remote authenticated users,CVE-2014-0129,badges/mybadges.php,,unspecified vectors,Moodle,,,to modify the visibility of an arbitrary badge,2.5.x before 2.5.5 and 2.6.x before 2.6.2,,,,,,,,
CVE-2014-0131 Use-after-free vulnerability in the skb_segment function in net/core/skbuff.c in the Linux kernel through 3.13.6 allows attackers to obtain sensitive information from kernel memory by leveraging the absence of a certain orphaning operation.,attackers,CVE-2014-0131,skb_segment function in net/core/skbuff.c,,leveraging the absence of a certain orphaning operation,Linux kernel,,Use-after-free vulnerability,to obtain sensitive information from kernel memory,through 3.13.6,,,,,,,,
CVE-2014-0133 Heap-based buffer overflow in the SPDY implementation in nginx 1.3.15 before 1.4.7 and 1.5.x before 1.5.12 allows remote attackers to execute arbitrary code via a crafted request.,remote attackers,CVE-2014-0133,SPDY implementation,,crafted request,nginx,,Heap-based buffer overflow,to execute arbitrary code,1.3.15 before 1.4.7 and 1.5.x before 1.5.12,,,,,,,,
"CVE-2014-0135 Kafo before 0.3.17 and 0.4.x before 0.5.2, as used by Foreman, uses world-readable permissions for default_values.yaml, which allows local users to obtain passwords and other sensitive information by reading the file.",local users ,CVE-2014-0135,,,reading the file,Kafo,,,to obtain passwords and other sensitive information,before 0.3.17 and 0.4.x before 0.5.2,,,,,,,,
"CVE-2014-0137 SQL injection vulnerability in the saved_report_delete action in the ReportController in Red Hat CloudForms Management Engine (CFME) before 5.2.3.2 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors, related to MiqReportResult.exists.",remote authenticated users,CVE-2014-0137,saved_report_delete action in the ReportController,,unspecified vectors,Red Hat CloudForms Management Engine (CFME),,SQL injection vulnerability,to execute arbitrary SQL commands,before 5.2.3.2 ,,,,,,,,
"CVE-2014-0139 cURL and libcurl 7.1 before 7.36.0, when using the OpenSSL, axtls, qsossl or gskit libraries for TLS, recognize a wildcard IP address in the subject's Common Name (CN) field of an X.509 certificate, which might allow man-in-the-middle attackers to spoof arbitrary SSL servers via a crafted certificate issued by a legitimate Certification Authority.",man-in-the-middle attackers,CVE-2014-0139,,,crafted certificate issued by a legitimate Certification Authority,cURL and libcurl,,,to spoof arbitrary SSL servers,7.1 before 7.36.0,,,,,,,,
"CVE-2014-0141 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
