Text,Subject,Object,Domain,Range
"CVE-2014-0217 enrol/index.php in Moodle 2.6.x before 2.6.3 does not check for the moodle/course : viewhiddencourses capability before listing hidden courses, which allows remote attackers to obtain sensitive name and summary information about these courses by leveraging the guest role and visiting a crafted UR L. ",crafted UR ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0221 The dtls1 get message fragment function in d1 both.c in OpenSSL before 0.9.8za , 1.0.0 before 1.0.0m , and 1.0.1 before 1.0.1h allows remote attackers to cause a denial of service (recursion and client crash) via a DTLS hello message in an invalid DTLS handshake. ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0223 Integer overflow in the qcow function in block/qcow.c in QEMU before 1.7.2 allows local users to cause a denial of service (crash) and possibly execute arbitrary code via a large image size, which triggers a buffer overflow or out-of-bounds read. ",buffer overflow ,local users ,Vulnerability,Attacker
"CVE-2014-0227 java/org/apache/coyote/http11/filters/ChunkedInputFilter.java in Apache Tomcat 6.x before 6.0.42 , 7.x before 7.0.55 , and 8.x before 8.0.9 does not properly handle attempts to continue reading data after an error has occurred, which allows remote attackers to conduct HTTP request smuggling attacks or cause a denial of service (resource consumption) by streaming data with malformed chunked transfer coding. ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0231 The mod cgid module in the Apache HTTP Server before 2.4.10 does not have a timeout mechanism, which allows remote attackers to cause a denial of service (process hang) via a request to a CGI script that does not read from its stdin file descriptor . ",denial of service ,remote attackers ,Vulnerability,Attacker
CVE-2014-0233 Red Hat OpenShift Enterprise 2.0 and 2.1 and OpenShift Origin allow remote authenticated users to execute arbitrary commands via shell metacharacters in a directory name that is referenced by a cartridge using the file : URI scheme . ,execute arbitrary commands ,remote authenticated users ,Vulnerability,Attacker
"CVE-2014-0239 The internal DNS server in Samba 4.x before 4.0.18 does not check the QR field in the header section of an incoming DNS message before sending a response, which allows remote attackers to cause a denial of service (CPU and bandwidth consumption) via a forged response packet that triggers a communication loop , a related issue to CVE-1999-0103. ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0249 The System Security Services Daemon ( SSSD ) 1.11.6 does not properly identify group membership when a non-POSIX group is in a group membership chain, which allows local users to bypass access restrictions via unspecified vectors . ",bypass access restrictions ,local users ,Vulnerability,Attacker
"CVE-2014-0251 Microsoft Windows SharePoint Services 3.0 SP3 ; SharePoint Server 2007 SP3 , 2010 SP1 and SP2 , and 2013 Gold and SP1 ; SharePoint Foundation 2010 SP1 and SP2 and 2013 Gold and SP1 ; Project Server 2010 SP1 and SP2 and 2013 Gold and SP1 ; Web Applications 2010 SP1 and SP2 ; Office Web Apps Server 2013 Gold and SP1 ; SharePoint Server 2013 Client Components SDK ; and SharePoint Designer 2007 SP3, 2010 SP1 and SP2, and 2013 Gold and SP1 allow remote authenticated users to execute arbitrary code via crafted page content , aka ""SharePoint Page Content Vulnerability."" ",execute arbitrary code ,remote authenticated users ,Vulnerability,Attacker
"CVE-2014-0253 Microsoft .NET Framework 1.1 SP1 , 2.0 SP2 , 3.5 , 3.5.1 , 4 , 4.5 , and 4.5.1 does not properly determine TCP connection states, which allows remote attackers to cause a denial of service (ASP.NET daemon hang) via crafted HTTP requests that trigger persistent resource consumption for a (1) stale or (2) closed connection, as exploited in the wild in February 2014, aka ""POST Request DoS Vulnerability."" ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0255 Microsoft Windows Server 2008 SP2 and R2 SP1 and Server 2012 Gold and R2 allow remote attackers to cause a denial of service (iSCSI service outage) by sending many crafted packets , aka ""iSCSI Target Remote Denial of Service Vulnerability."" ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0257 Microsoft .NET Framework 1.0 SP3 , 1.1 SP1 , 2.0 SP2 , 3.5 , 3.5.1 , 4 , 4.5 , and 4.5.1 does not properly determine whether it is safe to execute a method, which allows remote attackers to execute arbitrary code via (1) a crafted web site or (2) a crafted .NET Framework application that exposes a COM server endpoint, aka ""Type Traversal Vulnerability."" ",execute arbitrary code ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0261 Microsoft Dynamics AX 4.0 SP2 , 2009 SP1 , 2012 , and 2012 R2 allows remote authenticated users to cause a denial of service (instance outage) via crafted data to an Application Object Server ( AOS ) instance , aka ""Query Filter DoS Vulnerability."" ",denial of service ,remote authenticated users ,Vulnerability,Attacker
"CVE-2014-0263 The Direct2D implementation in Microsoft Windows 7 SP1 , Windows Server 2008 R2 SP1 , Windows 8 , Windows 8.1 , Windows Server 2012 Gold and R2 , and Windows RT Gold and 8.1 allows remote attackers to execute arbitrary code via a large 2D geometric figure that is encountered with Internet Explorer , aka ""Microsoft Graphics Component Memory Corruption Vulnerability."" ",execute arbitrary code ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0267 Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site , aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-0289 and CVE-2014-0290. ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0269 Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site , aka ""Internet Explorer Memory Corruption Vulnerability."" ",denial of service ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0671 Open redirect vulnerability in Cisco MediaSense allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via an unspecified parameter, aka Bug ID CSCum16749. ",Open redirect ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0673 Multiple cross-site scripting ( XSS ) vulnerabilities in the web interface on Cisco Video Surveillance 5000 HD IP Dome cameras allow remote attackers to inject arbitrary web script or HTML via a crafted URL , aka Bug IDs CSCud10943 and CSCud10950. ",Multiple cross-site scripting ( XSS ) ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0675 The Expressway component in Cisco TelePresence Video Communication Server ( VCS ) uses the same default X.509 certificate across different customers' installations, which makes it easier for remote attackers to conduct man-in-the-middle attacks against SSL sessions by leveraging the certificate 's trust relationship , aka Bug ID CSCue07471. ",man-in-the-middle attacks against SSL sessions ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0677 The Label Distribution Protocol ( LDP ) functionality in Cisco NX-OS allows remote attackers to cause a denial of service ( temporary LDP session outage ) via LDP discovery traffic containing malformed Hello messages , aka Bug ID CSCul88851. ",denial of service ( temporary LDP session outage ) ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0681 Cross-site scripting ( XSS ) vulnerability in Cisco Identity Services Engine ( ISE ) 1.2 patch 2 and earlier allows remote attackers to inject arbitrary web script or HTML via a report containing a crafted URL that is not properly handled during generation of report-output pages , aka Bug ID CSCui15064 . ",Cross-site scripting ( XSS ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0683 The web management interface on the Cisco RV110W firewall with firmware 1.2.0.9 and earlier , RV215W router with firmware 1.1.0.5 and earlier , and CVR100W router with firmware 1.0.1.19 and earlier does not prevent replaying of modified authentication requests , which allows remote attackers to obtain administrative access by leveraging the ability to intercept requests , aka Bug IDs CSCul94527 , CSCum86264 , and CSCum86275 . ",does not prevent replaying of modified authentication requests ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0685 Cisco Nexus 1000V InterCloud 5.2 ( 1 ) IC1 ( 1.2 ) and earlier for VMware allows remote attackers to bypass ACL deny statements via crafted ( 1 ) IGMPv2 or ( 2 ) IGMPv3 packets , aka Bug ID CSCug61691 . ",bypass ACL deny statements ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0705 The multicast listener discovery ( MLD ) service on Cisco Wireless LAN Controller ( WLC ) devices 7.2 , 7.3 , 7.4 before 7.4.121.0 , and 7.5 , when MLDv2 Snooping is enabled , allows remote attackers to cause a denial of service ( device restart ) via a malformed IPv6 MLDv2 packet , aka Bug ID CSCuh74233 . ",MLDv2 Snooping is enabled ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0709 Cisco UCS Director (formerly Cloupia) before 4.0.0.3 has a hardcoded password for the root account , which makes it easier for remote attackers to obtain administrative access via an SSH session to the CLI interface , aka Bug ID CSCui73930. ",hardcoded password for the root account ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0719 The control-plane access-list implementation in Cisco IPS Software before 7.1 ( 8p2 ) E4 and 7.2 before 7.2 ( 2 ) E4 allows remote attackers to cause a denial of service ( MainApp process outage ) via crafted packets to TCP port 7000 , aka Bug ID CSCui67394. ",control-plane access-list implementation ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0723 Cross-site scripting ( XSS ) vulnerability in the IP Manager Assistant ( IPMA ) interface in Cisco Unified Communications Manager ( UCM ) allows remote attackers to inject arbitrary web script or HTML via a crafted URL , aka Bug ID CSCum05343 . ",Cross-site scripting ( XSS ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0725 Cisco Unified Communications Manager ( UCM ) does not require authentication for reading WAR files , which allows remote attackers to obtain sensitive information via unspecified access to a `` file storage location , '' aka Bug ID CSCum05337 . ",does not require authentication for reading WAR files ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0727 SQL injection vulnerability in the CallManager Interactive Voice Response ( CMIVR ) interface in Cisco Unified Communications Manager ( UCM ) allows remote attackers to execute arbitrary SQL commands via a crafted URL , aka Bug ID CSCum05318 . ",SQL injection vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0729 SQL injection vulnerability in the Enterprise Mobility Application ( EMApp ) interface in Cisco Unified Communications Manager ( UCM ) allows remote attackers to execute arbitrary SQL commands via a crafted URL , aka Bug ID CSCum05302 . ",SQL injection vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0733 The Enterprise License Manager ( ELM ) component in Cisco Unified Communications Manager ( Unified CM ) 10.0 ( 1 ) and earlier does not properly enforce authentication requirements , which allows remote attackers to read ELM files via a direct request to a URL , aka Bug ID CSCum46494 . ",does not properly enforce authentication requirements ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0735 Cross-site scripting ( XSS ) vulnerability in the IP Manager Assistant ( IPMA ) interface in Cisco Unified Communications Manager ( Unified CM ) 10.0 ( 1 ) and earlier allows remote attackers to inject arbitrary web script or HTML via a crafted URL , aka Bug ID CSCum46470 . ",Cross-site scripting ( XSS ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0739 Race condition in the Phone Proxy component in Cisco Adaptive Security Appliance ( ASA ) Software 9.1 ( .3 ) and earlier allows remote attackers to bypass sec db authentication and provide certain pass-through services to untrusted devices via a crafted configuration-file TFTP request , aka Bug ID CSCuj66766 . ",Race condition ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0745 Cross-site request forgery ( CSRF ) vulnerability in the Unified Serviceability subsystem in Cisco Unified Contact Center Express ( Unified CCX ) allows remote attackers to hijack the authentication of arbitrary users , aka Bug ID CSCum95502. ",Cross-site request forgery ( CSRF ) vulnerability ,remote attackers ,Vulnerability,Attacker
CVE-2014-0749 Stack-based buffer overflow in lib/Libdis/disrsi .c in Terascale Open-Source Resource and Queue Manager (aka TORQUE Resource Manager) 2.5.x through 2.5.13 allows remote attackers to execute arbitrary code via a large count value . ,Stack-based buffer overflow ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0751 Directory traversal vulnerability in CimWebServer.exe ( aka the WebView component ) in GE Intelligent Platforms Proficy HMI/SCADA - CIMPLICITY before 8.2 SIM 24, and Proficy Process Systems with CIMPLICITY, allows remote attackers to execute arbitrary code via a crafted message to TCP port 10212 , aka ZDI-CAN-1623 . ",Directory traversal vulnerability ,remote attackers ,Vulnerability,Attacker
CVE-2014-0753 Stack-based buffer overflow in the SCADA server in Ecava IntegraXor before 4.1.4390 allows remote attackers to cause a denial of service ( system crash ) by triggering access to DLL code located in the IntegraXor directory. ,Stack-based buffer overflow ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0755 Rockwell Automation RSLogix 5000 7 through 20.01 , and 21.0 , does not properly implement password protection for .ACD files ( aka project files ) , which allows local users to obtain sensitive information or modify data via unspecified vectors . ",does not properly implement password protection for .ACD files ( aka project files ) ,local users ,Vulnerability,Attacker
CVE-2014-0759 Unquoted Windows search path vulnerability in Schneider Electric Floating License Manager 1.0.0 through 1.4.0 allows local users to gain privileges via a Trojan horse application with a name composed of an initial substring of a path that contains a space character . ,Unquoted Windows search path vulnerability ,local users ,Vulnerability,Attacker
CVE-2014-0763 Multiple SQL injection vulnerabilities in DBVisitor.dll in Advantech WebAccess before 7.2 allow remote attackers to execute arbitrary SQL commands via SOAP requests to unspecified functions . ,Multiple SQL injection vulnerabilities ,remote attackers ,Vulnerability,Attacker
CVE-2014-0765 Stack-based buffer overflow in Advantech WebAccess before 7.2 allows remote attackers to execute arbitrary code via a long GotoCmd argument . ,Stack-based buffer overflow ,remote attackers ,Vulnerability,Attacker
CVE-2014-0767 Stack-based buffer overflow in Advantech WebAccess before 7.2 allows remote attackers to execute arbitrary code via a long AccessCode argument . ,Stack-based buffer overflow ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0769 The Festo CECX-X-C1 Modular Master Controller with CoDeSys and CECX-X-M1 Modular Controller with CoDeSys and SoftMotion do not require authentication for connections to certain TCP ports , which allows remote attackers to (1) modify the configuration via a request to the debug service on port 4000 or (2) delete log entries via a request to the log service on port 4001 . ",do not require authentication for connections to certain TCP ports ,remote attackers ,Vulnerability,Attacker
CVE-2014-0771 The OpenUrlToBuffer method in the BWOCXRUN.BwocxrunCtrl.1 ActiveX control in bwocxrun.ocx in Advantech WebAccess before 7.2 allows remote attackers to read arbitrary files via a file : URL . ,OpenUrlToBuffer method ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0773 The CreateProcess method in the BWOCXRUN.BwocxrunCtrl.1 ActiveX control in bwocxrun.ocx in Advantech WebAccess before 7.2 allows remote attackers to execute ( 1 ) setup.exe , ( 2 ) bwvbprt.exe , and ( 3 ) bwvbprtl.exe programs from arbitrary pathnames via a crafted argument , as demonstrated by a UNC share pathname . ",CreateProcess method ,remote attackers ,Vulnerability,Attacker
CVE-2014-0777 The Modbus slave/outstation driver in the OPC Drivers 1.0.20 and earlier in IOServer OPC Server allows remote attackers to cause a denial of service (out-of-bounds read and daemon crash) via a crafted packet . ,The Modbus slave/outstation driver ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0779 The PLC driver in ServerMain.exe in the Kepware KepServerEX 4 component in Schneider Electric StruxureWare SCADA Expert ClearSCADA 2010 R2 build 71.4165 , 2010 R2.1 build 71.4325 , 2010 R3 build 72.4560 , 2010 R3.1 build 72.4644 , 2013 R1 build 73.4729 , 2013 R1.1 build 73.4832 , 2013 R1.1a build 73.4903 , 2013 R1.2 build 73.4955 , and 2013 R2 build 74.5094 allows remote attackers to cause a denial of service (application crash) via a crafted OPF file ( aka project file ) . ",The PLC driver in ServerMain.exe ,remote attackers ,Vulnerability,Attacker
CVE-2014-0781 Heap-based buffer overflow in BKCLogSvr.exe in Yokogawa CENTUM CS 3000 R3.09.50 and earlier allows remote attackers to execute arbitrary code via crafted UDP packets . ,Heap-based buffer overflow ,remote attackers ,Vulnerability,Attacker
CVE-2014-0783 Stack-based buffer overflow in BKHOdeq.exe in Yokogawa CENTUM CS 3000 R3.09.50 and earlier allows remote attackers to execute arbitrary code via a crafted TCP packet . ,Stack-based buffer overflow ,remote attackers ,Vulnerability,Attacker
CVE-2014-0787 Stack-based buffer overflow in WellinTech KingSCADA before 3.1.2.13 allows remote attackers to execute arbitrary code via a crafted packet . ,Stack-based buffer overflow ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0789 Multiple buffer overflows in the OPC Automation 2.0 Server Object ActiveX control in Schneider Electric OPC Factory Server ( OFS ) TLXCDSUOFS33 3.5 and earlier , TLXCDSTOFS33 3.5 and earlier , TLXCDLUOFS33 3.5 and earlier , TLXCDLTOFS33 3.5 and earlier , and TLXCDLFOFS33 3.5 and earlier allow remote attackers to cause a denial of service via long arguments to unspecified functions . ",Multiple buffer overflows ,remote attackers ,Vulnerability,Attacker
CVE-2014-0791 Integer overflow in the license read scope list function in libfreerdp/core/license.c in FreeRDP through 1.0.2 allows remote RDP servers to cause a denial of service ( application crash ) or possibly have unspecified other impact via a large ScopeCount value in a Scope List in a Server License Request packet . ,Integer overflow in the license read scope list function ,remote RDP servers ,Vulnerability,Attacker
CVE-2014-0793 Multiple cross-site scripting ( XSS ) vulnerabilities in the StackIdeas Komento ( com komento ) component before 1.7.3 for Joomla ! allow remote attackers to inject arbitrary web script or HTML via the ( 1 ) website or ( 2 ) latitude parameter in a comment to the default URI . ,Multiple cross-site scripting ( XSS ) vulnerabilities ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0803 Directory traversal vulnerability in the tetra filer application 2.3.1 and earlier for Android 4.0.3 , tetra filer free application 2.3.1 and earlier for Android 4.0.3 , tetra filer application 1.5.1 and earlier for Android before 4.0.3, and tetra filer free application 1.5.1 and earlier for Android before 4.0.3 allows attackers to overwrite or create arbitrary files via unspecified vectors . ",Directory traversal vulnerability ,attackers ,Vulnerability,Attacker
"CVE-2014-0805 Directory traversal vulnerability in the NeoFiler application 5.4.3 and earlier , NeoFiler Free application 5.4.3 and earlier , and NeoFiler Lite application 2.4.2 and earlier for Android allows attackers to overwrite or create arbitrary files via unspecified vectors . ",Directory traversal vulnerability ,attackers ,Vulnerability,Attacker
CVE-2014-0809 Directory traversal vulnerability in the Gapless Player SimZip ( aka Simple Zip Viewer ) application before 1.2.1 for Android allows remote attackers to overwrite or create arbitrary files via a crafted filename . ,Directory traversal vulnerability ,remote attackers ,Vulnerability,Attacker
CVE-2014-0811 Cross-site scripting ( XSS ) vulnerability in Blackboard Vista/CE 8.0 SP6 and earlier allows remote attackers to inject arbitrary web script or HTML via unspecified vectors . ,Cross-site scripting ( XSS ) vulnerability ,remote attackers ,Vulnerability,Attacker
CVE-2014-0813 Cross-site request forgery ( CSRF ) vulnerability in phpMyFAQ before 2.8.6 allows remote attackers to hijack the authentication of arbitrary users for requests that modify settings . ,Cross-site request forgery ( CSRF ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0817 Cybozu Garoon 2.x through 2.5.4 and 3.x through 3.7 SP3 does not properly manage sessions , which allows remote authenticated users to impersonate arbitrary users via unspecified vectors . ",does not properly manage sessions ,remote authenticated users ,Vulnerability,Attacker
CVE-2014-0819 Untrusted search path vulnerability in Autodesk AutoCAD before 2014 allows local users to gain privileges via a Trojan horse DLL in the current working directory . ,Untrusted search path vulnerability ,local users ,Vulnerability,Attacker
"CVE-2014-0821 SQL injection vulnerability in the download feature in Cybozu Garoon 2.x through 2.5.4 and 3.x through 3.7 SP3 allows remote authenticated users to execute arbitrary SQL commands via unspecified vectors , a different vulnerability than CVE-2013-6930 and CVE-2013-6931. ",SQL injection vulnerability ,remote authenticated users ,Vulnerability,Attacker
"CVE-2014-0825 Cross-site scripting ( XSS ) vulnerability in openreport.jsp in IBM Maximo Asset Management 7.x before 7.1.1.12 IFIX.20140321-1336 and 7.5.x before 7.5.0.5 IFIX006 ; SmartCloud Control Desk 7.x before 7.5.0.3 and 7.5.1.x before 7.5.1.2 ; and Tivoli IT Asset Management for IT , Tivoli Service Request Manager , Maximo Service Desk , and Change and Configuration Management Database ( CCMDB ) 7.x before 7.1.1.12 IFIX.20140218-1510 allows remote authenticated users to inject arbitrary web script or HTML via a crafted report parameter . ",Cross-site scripting ( XSS ) vulnerability ,remote authenticated users ,Vulnerability,Attacker
CVE-2014-0827 Cross-site scripting ( XSS ) vulnerability in IBM InfoSphere Optim Workload Replay 1.1 allows remote attackers to inject arbitrary web script or HTML via a crafted URL . ,Cross-site scripting ( XSS ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0829 Multiple buffer overflows in IBM Rational ClearCase 7.x before 7.1.2.13 , 8.0.0.x before 8.0.0.10 , and 8.0.1.x before 8.0.1.3 allow remote authenticated users to obtain privileged access via unspecified vectors . ",Multiple buffer overflows ,remote authenticated users ,Vulnerability,Attacker
CVE-2014-0831 Cross-site request forgery ( CSRF ) vulnerability in the OAC component in IBM Financial Transaction Manager ( FTM ) 2.0 before 2.0.0.3 allows remote attackers to hijack the authentication of arbitrary users for requests that modify configuration data . ,Cross-site request forgery ( CSRF ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0833 The OAC component in IBM Financial Transaction Manager ( FTM ) 2.0 before 2.0.0.3 does not properly enforce operator-intervention requirements , which allows remote authenticated users to bypass intended access restrictions via an unspecified process step . ",does not properly enforce operator-intervention requirements ,remote authenticated users ,Vulnerability,Attacker
CVE-2014-0835 Cross-site request forgery ( CSRF ) vulnerability in IBM Security QRadar SIEM 7.2 MR1 and earlier allows remote attackers to hijack the authentication of administrators for requests that modify console Auto Update settings . ,Cross-site request forgery ( CSRF ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0837 The AutoUpdate process in IBM Security QRadar SIEM 7.2 MR1 and earlier does not verify X.509 certificates from SSL servers , which allows man-in-the-middle attackers to spoof servers via a crafted certificate . ",does not verify X.509 certificates from SSL servers ,man-in-the-middle attackers ,Vulnerability,Attacker
CVE-2014-0843 Cross-site scripting ( XSS ) vulnerability in IBM Rational Focal Point 6.4.x and 6.5.x before 6.5.2.3 and 6.6.x before 6.6.1 allows remote authenticated users to inject arbitrary web script or HTML by uploading a file . ,Cross-site scripting ( XSS ) vulnerability ,remote authenticated users ,Vulnerability,Attacker
"CVE-2014-0845 Open redirect vulnerability in IBM Rational Requirements Composer 3.x before 3.0.1.6 iFix2 and 4.x before 4.0.6 , and Rational DOORS Next Generation 4.x before 4.0.6 , allows remote authenticated users to redirect users to arbitrary web sites and conduct phishing attacks via a crafted URL . ",Open redirect vulnerability ,remote authenticated users ,Vulnerability,Attacker
CVE-2014-0853 Multiple cross-site scripting ( XSS ) vulnerabilities in the (1) ForwardController and (2) AttributeEditor scripts in IBM Rational Focal Point 6.4.x and 6.5.x before 6.5.2.3 and 6.6.x before 6.6.1 allow remote authenticated users to inject arbitrary web script or HTML via unspecified vectors . ,Multiple cross-site scripting ( XSS ) vulnerabilities ,remote authenticated users ,Vulnerability,Attacker
CVE-2014-0855 Multiple cross-site scripting ( XSS ) vulnerabilities in IBM Connections Portlets 4.x before 4.5.1 FP1 for IBM WebSphere Portal 7.0.0.2 and 8.0.0.1 allow remote attackers to inject arbitrary web script or HTML via unspecified vectors . ,Multiple cross-site scripting ( XSS ) vulnerabilities ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0859 The web-server plugin in IBM WebSphere Application Server ( WAS ) 7.x before 7.0.0.33 , 8.x before 8.0.0.9 , and 8.5.x before 8.5.5.2 , when POST retries are enabled , allows remote attackers to cause a denial of service (daemon crash) via unspecified vectors . ",when POST retries are enabled ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0861 Cross-site scripting ( XSS ) vulnerability in the server in IBM Cognos Business Intelligence (BI) 8.4.1 , 10.1 before IF6 , 10.1.1 before IF5 , 10.2 before IF7 , 10.2.1 before IF4 , and 10.2.1.1 before IF4 allows remote attackers to inject arbitrary web script or HTML via an unspecified parameter that is not properly handled during use of the Back button . ",Cross-site scripting ( XSS ) vulnerability ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0863 The client in IBM Cognos TM1 9.5.2.3 before IF5 , 10.1.1.2 before IF1 , 10.2.0.2 before IF1 , and 10.2.2.0 before IF1 stores obfuscated passwords in memory , which allows remote authenticated users to obtain sensitive cleartext information via an unspecified security tool . ",stores obfuscated passwords in memory ,remote authenticated users ,Vulnerability,Attacker
"CVE-2014-0865 RICOS in IBM Algo Credit Limits ( aka ACLM ) 4.5.0 through 4.7.0 before 4.7.0.03 FP5 in IBM Algorithmics relies on client-side input validation , which allows remote authenticated users to bypass intended dual-control restrictions and modify data via crafted serialized objects , as demonstrated by limit manipulations . ",relies on client-side input validation ,remote authenticated users ,Vulnerability,Attacker
CVE-2014-0867 rcore6/main/addcookie.jsp in RICOS in IBM Algo Credit Limits ( aka ACLM ) 4.5.0 through 4.7.0 before 4.7.0.03 FP5 in IBM Algorithmics allows remote attackers to create or modify cookies via the query string . ,rcore6/main/addcookie.jsp ,remote attackers ,Vulnerability,Attacker
"CVE-2014-0869 The decrypt function in RICOS in IBM Algo Credit Limits ( aka ACLM ) 4.5.0 through 4.7.0 before 4.7.0.03 FP5 in IBM Algorithmics does not require a key , which makes it easier for remote attackers to obtain cleartext passwords by sniffing the network and then providing a string argument to this function . ",does not require a key ,remote attackers ,Vulnerability,Attacker
